# name NORAD_ID
STARLINK-32172 61518
STARLINK-32177 60441
STARLINK-32196 60430
STARLINK-32199 60320
STARLINK-32212 60256
STARLINK-32232 60431
STARLINK-3225 49737
STARLINK-32252 60442
STARLINK-32254 60427
STARLINK-32274 60922
STARLINK-32281 60375
STARLINK-32325 61588
STARLINK-32326 61674
STARLINK-32328 62489
STARLINK-32329 62736
STARLINK-32363 61678
STARLINK-3239 49743
STARLINK-32400 61669
STARLINK-32404 61710
STARLINK-32414 61667
STARLINK-32421 61628
STARLINK-32455 61632
STARLINK-32458 61962
STARLINK-3246 49732
STARLINK-32466 61859
STARLINK-3247 49747
STARLINK-32488 62125
STARLINK-32490 62126
STARLINK-32505 63085
STARLINK-32515 61705
STARLINK-32525 62121
STARLINK-32551 62166
STARLINK-32553 62071
STARLINK-32562 62168
STARLINK-32568 62128
STARLINK-32602 62181
STARLINK-32657 62475
STARLINK-32665 62203
STARLINK-32697 62436
STARLINK-32699 62482
STARLINK-3270 50199
STARLINK-32716 63031
STARLINK-32727 62828
STARLINK-32753 62481
STARLINK-3276 50189
STARLINK-3278 50830
STARLINK-32788 62502
STARLINK-32790 63048
STARLINK-32802 62738
STARLINK-32807 62845
STARLINK-32810 63037
STARLINK-32811 63039
STARLINK-32815 62956
STARLINK-32822 62868
STARLINK-32837 62812
STARLINK-32846 62867
STARLINK-32847 62811
STARLINK-32858 62962
STARLINK-32867 62855
STARLINK-32870 63018
STARLINK-3289 50173
STARLINK-32894 62969
STARLINK-32896 62959
STARLINK-32900 63093
STARLINK-32901 62895
STARLINK-32905 62923
STARLINK-32908 63084
STARLINK-32923 63097
STARLINK-32934 63200
STARLINK-32946 63196
STARLINK-3306 50163
STARLINK-3326 50844
STARLINK-3346 50821
STARLINK-33554 62103
STARLINK-33565 62288
STARLINK-33585 62782
STARLINK-33591 62777
STARLINK-33592 62765
STARLINK-33593 62780
STARLINK-3360 51149
STARLINK-33617 63373
STARLINK-33628 63067
STARLINK-33640 63378
STARLINK-33648 63371
STARLINK-33658 63384
STARLINK-33668 63402
STARLINK-33679 63460
STARLINK-33680 63287
STARLINK-33690 63406
STARLINK-33726 63437
STARLINK-33732 63575
STARLINK-33734 63367
STARLINK-33745 63714
STARLINK-33747 63444
STARLINK-33749 63716
STARLINK-3375 51114
STARLINK-33754 63487
STARLINK-33786 63514
STARLINK-33800 63576
STARLINK-33815 63497
STARLINK-33818 63502
STARLINK-33875 63789
STARLINK-33885 63886
STARLINK-33910 63916
STARLINK-33921 65934
STARLINK-33926 64147
STARLINK-33952 64046
STARLINK-33955 63902
STARLINK-33980 63930
STARLINK-33991 64122
STARLINK-33995 63706
STARLINK-34001 64272
STARLINK-34017 64339
STARLINK-34041 63844
STARLINK-34078 64012
STARLINK-34147 63965
STARLINK-34155 64019
STARLINK-34160 64119
STARLINK-34171 64082
STARLINK-34176 64104
STARLINK-34185 64744
STARLINK-34190 64078
STARLINK-34239 64728
STARLINK-34242 64727
STARLINK-34269 64386
STARLINK-34290 64929
STARLINK-34299 64383
STARLINK-34303 64168
STARLINK-34316 64707
STARLINK-34341 64161
STARLINK-34351 64387
STARLINK-34357 64310
STARLINK-34368 64311
STARLINK-34382 64667
STARLINK-34398 64445
STARLINK-34444 64369
STARLINK-34462 64493
STARLINK-34472 64434
STARLINK-34476 64364
STARLINK-34480 64427
STARLINK-34482 64782
STARLINK-34492 64473
STARLINK-34493 64472
STARLINK-34499 64709
STARLINK-34518 64480
STARLINK-34564 64852
STARLINK-34575 64859
STARLINK-34581 64745
STARLINK-34588 64729
STARLINK-3460 51755
STARLINK-34605 64677
STARLINK-34649 64798
STARLINK-34717 65060
STARLINK-34721 65039
STARLINK-34739 65066
STARLINK-34760 65359
STARLINK-34761 64954
STARLINK-34773 65024
STARLINK-34786 65391
STARLINK-34792 65085
STARLINK-34808 65745
STARLINK-34813 66195
STARLINK-34824 65042
STARLINK-34862 65180
STARLINK-34863 66190
STARLINK-34934 65897
STARLINK-34937 66192
STARLINK-34948 65191
STARLINK-34953 65240
STARLINK-34983 65411
STARLINK-35015 65283
STARLINK-35020 65340
STARLINK-3504 51881
STARLINK-35049 65444
STARLINK-35061 66191
STARLINK-3508 51862
STARLINK-35096 65479
STARLINK-35100 65542
STARLINK-35112 65520
STARLINK-35127 65639
STARLINK-35147 65637
STARLINK-35165 65750
STARLINK-35166 65499
STARLINK-35170 65532
STARLINK-35197 66193
STARLINK-35204 65694
STARLINK-35220 65661
STARLINK-35232 65518
STARLINK-35239 65623
STARLINK-35242 65493
STARLINK-35264 65900
STARLINK-35280 66025
STARLINK-35299 66072
STARLINK-35307 66013
STARLINK-3532 51727
STARLINK-3533 51715
STARLINK-35337 65831
STARLINK-3534 52120
STARLINK-3536 51888
STARLINK-35366 66512
STARLINK-35368 65830
STARLINK-35378 65794
STARLINK-35388 66466
STARLINK-35395 66014
STARLINK-35397 65825
STARLINK-35436 65932
STARLINK-35452 66104
STARLINK-35502 66435
STARLINK-35537 66234
STARLINK-35570 66090
STARLINK-35583 66611
STARLINK-35597 66493
STARLINK-35621 66156
STARLINK-35625 66140
STARLINK-3566 51880
STARLINK-35727 66281
STARLINK-35735 66231
STARLINK-35743 66578
STARLINK-35757 66270
STARLINK-35769 66842
STARLINK-35797 66364
STARLINK-35835 66569
STARLINK-35850 66352
STARLINK-35957 66823
STARLINK-35965 66631
STARLINK-36036 66608
STARLINK-3608 51776
STARLINK-3628 51783
STARLINK-3634 51798
STARLINK-3645 51986
STARLINK-3647 51994
STARLINK-3660 51977
STARLINK-3687 52110
STARLINK-3692 51958
STARLINK-3699 51966
STARLINK-3705 52103
STARLINK-3709 52102
STARLINK-3711 52131
STARLINK-3721 52134
STARLINK-3751 52289
STARLINK-3767 52376
STARLINK-3774 52680
STARLINK-3780 52278
STARLINK-3796 52372
STARLINK-3823 52336
STARLINK-3833 52578
STARLINK-3837 52358
STARLINK-3850 52342
STARLINK-3864 52468
STARLINK-3878 52479
STARLINK-3879 52473
STARLINK-3887 52484
STARLINK-3889 52331
STARLINK-3894 52499
STARLINK-3896 52456
STARLINK-3902 52487
STARLINK-3903 52462
STARLINK-3906 52585
STARLINK-3908 52491
STARLINK-3913 52485
STARLINK-3914 52490
STARLINK-3916 52492
STARLINK-3933 52538
STARLINK-3940 52540
STARLINK-3947 52607
STARLINK-3969 52551
STARLINK-3976 52673
STARLINK-3990 52626
STARLINK-3997 52609
STARLINK-4006 52676
STARLINK-4020 52703
STARLINK-4030 52698
STARLINK-4047 53243
STARLINK-4052 53171
STARLINK-4057 53269
STARLINK-4059 53250
STARLINK-4110 53166
STARLINK-4127 53258
STARLINK-4128 53249
STARLINK-4155 53036
STARLINK-4165 53286
STARLINK-4173 53285
STARLINK-4176 53289
STARLINK-4217 52999
STARLINK-4258 53180
STARLINK-4261 52868
STARLINK-4265 53011
STARLINK-4303 53544
STARLINK-4340 53494
STARLINK-4346 53073
STARLINK-4353 53214
STARLINK-4355 53048
STARLINK-4363 53220
STARLINK-4370 53231
STARLINK-4396 53637
STARLINK-4404 53195
STARLINK-4408 53206
STARLINK-4412 53477
STARLINK-4413 53207
STARLINK-4414 53213
STARLINK-4422 53639
STARLINK-4426 53484
STARLINK-4454 53499
STARLINK-4463 53659
STARLINK-4466 53656
STARLINK-4480 53416
STARLINK-4481 53418
STARLINK-4485 53541
STARLINK-4490 53409
STARLINK-4493 53533
STARLINK-4497 53411
STARLINK-4508 53559
STARLINK-4515 53397
STARLINK-4536 53783
STARLINK-4543 53429
STARLINK-4550 53570
STARLINK-4571 53688
STARLINK-4591 53607
STARLINK-4599 53631
STARLINK-4612 53750
STARLINK-4624 53684
STARLINK-4626 53685
STARLINK-4664 53777
STARLINK-4667 53707
STARLINK-4675 53601
STARLINK-4711 53701
STARLINK-4734 53790
STARLINK-4790 53859
STARLINK-4809 53857
STARLINK-5013 55492
STARLINK-5025 53920
STARLINK-5029 53887
STARLINK-5036 53917
STARLINK-5044 53898
STARLINK-5046 53892
STARLINK-5048 53911
STARLINK-5049 57246
STARLINK-5061 54847
STARLINK-5087 54850
STARLINK-5131 53996
STARLINK-5160 54080
STARLINK-5161 54163
STARLINK-5176 54053
STARLINK-5178 54083
STARLINK-5184 54087
STARLINK-5196 55319
STARLINK-5211 54086
STARLINK-5222 54068
STARLINK-5242 54173
STARLINK-5243 54167
STARLINK-5273 54162
STARLINK-5290 54157
STARLINK-5293 55295
STARLINK-5302 56556
STARLINK-5332 55285
STARLINK-5347 57137
STARLINK-5349 56512
STARLINK-5351 56511
STARLINK-5362 55493
STARLINK-5382 54820
STARLINK-5388 54844
STARLINK-5403 54862
STARLINK-5409 54859
STARLINK-5445 54790
STARLINK-5447 54779
STARLINK-5450 54778
STARLINK-5459 55669
STARLINK-5468 54777
STARLINK-5493 55333
STARLINK-5528 56890
STARLINK-5537 55384
STARLINK-5543 56341
STARLINK-5582 56777
STARLINK-5597 55403
STARLINK-5602 55743
STARLINK-5605 55411
STARLINK-5610 57244
STARLINK-5624 55416
STARLINK-5630 55406
STARLINK-5638 55426
STARLINK-5653 55345
STARLINK-5672 55468
STARLINK-5684 55453
STARLINK-5690 55480
STARLINK-5695 55485
STARLINK-5706 55488
STARLINK-5707 56879
STARLINK-5716 56504
STARLINK-5765 57147
STARLINK-5767 55586
STARLINK-5819 55780
STARLINK-5823 55786
STARLINK-5875 57221
STARLINK-5878 55955
STARLINK-5888 56348
STARLINK-5893 55952
STARLINK-5922 55925
STARLINK-5923 56489
STARLINK-5936 56011
STARLINK-5942 56014
STARLINK-5946 55990
STARLINK-5984 56329
STARLINK-5986 56452
STARLINK-5987 56455
STARLINK-5994 56457
STARLINK-5999 56909
STARLINK-6056 56813
STARLINK-6064 56805
STARLINK-6083 56109
STARLINK-6084 56111
STARLINK-6088 56098
STARLINK-6100 57125
STARLINK-6101 56115
STARLINK-6113 56113
STARLINK-6120 56131
STARLINK-6133 57134
STARLINK-6136 56540
STARLINK-6155 57076
STARLINK-6156 56374
STARLINK-6165 57127
STARLINK-6189 56377
STARLINK-6190 56774
STARLINK-6196 56487
STARLINK-6201 56486
STARLINK-6217 57058
STARLINK-6230 57228
STARLINK-6236 56422
STARLINK-6245 57079
STARLINK-6255 56550
STARLINK-6277 56399
STARLINK-6283 56406
STARLINK-6292 56775
STARLINK-6322 57337
STARLINK-6327 56522
STARLINK-6340 57361
STARLINK-6352 56782
STARLINK-6360 57235
AAC-AIS-SAT2 56996
ANSER-FLW2 58018
APRIZESAT 4 35684
APRIZESAT 8 39425
ARCSAT-1 52161
ASTROCAST-01 43798
BUGSAT 1 40014
BUZZZER-1 62609
CALSPHERE 1 900
CARBONITE 1 40718
CAS500-1 47932
CENTISPACE-1 S4 53758
CENTISPACE-1 S5 54020
CHUANG XIN 1-04 40137
COSMOS 1656 15755
COSMOS 1937 19038
COSMOS 2151 21422
COSMOS 2333 24297
COSMOS 2400 27868
COSMOS 2483 39058
COSMOS 2489 39484
COSMOS 2494 (SKRL 756) 39491
COSMOS 2515 41394
COSMOS 252 3530
COSMOS 2530 43751
COSMOS 2535 44421
COSMOS 2550 48865
COSMOS 2566 54383
COSMOS 394 4922
COSMOS 968 10520
CP3 31129
CSC-1 58022
CSS (TIANHE-1) 48274
CUPID 49264
CUTE-1 27844
CYGFM07 41890
CYGFM08 41888
DEORBITSAIL 40719
DMC 3-FM3 40717
DS-EO 52935
DUMMY CUBESAT 52983
EMISAT 44078
EOLE 1 (CAS-A) 5435
ESSAIM-3 28496
ESTCUBE 1 39161
FENGYUN 1A 19467
FENGYUN 3E 49008
FLOCK 4BE 14 60517
FLOCK 4BE 29 60509
FLOCK 4G 7 62624
FLOCK 4H 25 66728
FLOCK 4H 3 66706
FLOCK 4Q 13 58328
FLOCK 4Q 29 58304
FORMOSAT 3A 29047
FORMOSAT 3C 29049
FOSSASAT2E19 (TAT-E) 62676
GAOFEN 12 (03) 52912
GEESAT 1-01 52785
GEESAT 1-04 52788
GEESAT 3-02 61012
GEESAT 3-06 61016
GEESAT 4-03 65121
GEESAT 4-07 65125
GEESAT 5-08 65557
GHGSAT-C3 52737
GLOBAL-32 64231
GLOBALSTAR M003 25165
GLOBALSTAR M046 25651
GLOBALSTAR M062 26082
GNOMES-5 60574
GOMX 1 39430
GRUS-1D 47936
HAWK-12A 64623
HAWK-7C 56200
HELIOS 1B 25977
HERMES-3 63835
HJ-2A 46478
HJS-6B 63429
HJS-7A 65617
HUBBLE 6 64562
ICEYE-X35 58302
ICEYE-X41 62700
ICEYE-X49 62384
ICEYE-X55 64581
ICUBE 1 39432
INNOCUBE (TUSAT-31) 62616
INTERCOSMOS 25 21819
IOD1_STARTICAL 63212
ION SCV-002 47504
IRIDE-MS2-HEO-2 64569
IRIDIUM 103 41918
IRIDIUM 108 41924
IRIDIUM 114 41923
IRIDIUM 145 43253
IRIDIUM 7 24793
IRIDIUM 73 25344
IRIDIUM 82 25467
IRIDIUM 914 24836
IRS P6 28051
JILIN-01 GAOFEN 2B 44836
JILIN-01 KUANFU 01 45016
JILIN-01 KUANFU 01C 52443
JILIN-1-03 41914
KINEIS-1D 60082
KINEIS-3B 61224
KINEIS-4C 63301
KOYOH 58464
KSM1-C 46906
LEGION 4 60453
LEGION 6 62901
LEMU-NGE 60532
LEMUR 2 AMANDA-SVANTE 48269
LEMUR 2 DEVERILL-M-T 57391
LEMUR 2 FURIAUS 42840
LEMUR 2 NIMBUS2000 58899
LEMUR 2 THEFALCONER 63264
LIBERTAD 1 31128
LMRST-SAT 40971
MACSAT 58024
METEOR M2 40069
MKA PN2 (RELEK) 40070
MOHAMMED VI-B 43717
NAPA-1 46320
NETSAT-1 46506
NIGERIASAT 1 27941
NINGXIA-1 4 44782
NNSS 19 (TRANSIT 19) 4507
NORSAT 1 42826
OKEAN 2 20510
OMNI-L2 52771
ONEWEB-0019 45449
ONEWEB-0027 45432
ONEWEB-0046 45447
ONEWEB-0048 45153
ONEWEB-0051 45155
ONEWEB-0056 45159
ONEWEB-0058 45161
ONEWEB-0060 45455
ONEWEB-0126 47272
ONEWEB-0130 47276
ONEWEB-0133 47279
ONEWEB-0134 47280
ONEWEB-0148 48059
ONEWEB-0157 48055
ONEWEB-0166 48065
ONEWEB-0173 48069
ONEWEB-0186 48229
ONEWEB-0200 48244
ONEWEB-0208 48243
ONEWEB-0215 48800
ONEWEB-0219 48223
ONEWEB-0221 48789
ONEWEB-0230 48769
ONEWEB-0248 48798
ONEWEB-0257 48975
ONEWEB-0287 49077
ONEWEB-0303 49187
ONEWEB-0312 49098
ONEWEB-0315 49101
ONEWEB-0316 49102
ONEWEB-0320 49190
ONEWEB-0338 49204
ONEWEB-0339 49205
ONEWEB-0378 49304
ONEWEB-0383 49309
ONEWEB-0388 49314
ONEWEB-0389 50469
ONEWEB-0390 50470
ONEWEB-0391 50471
ONEWEB-0397 50477
ONEWEB-0409 50488
ONEWEB-0419 50494
ONEWEB-0423 51627
ONEWEB-0427 50499
ONEWEB-0438 51634
ONEWEB-0443 51637
ONEWEB-0452 51644
ONEWEB-0456 51646
ONEWEB-0511 54129
ONEWEB-0515 54133
ONEWEB-0524 54142
ONEWEB-0557 56058
ONEWEB-0559 56060
ONEWEB-0567 55147
ONEWEB-0580 54648
ONEWEB-0598 55154
ONEWEB-0605 54669
ONEWEB-0632 56073
ONEWEB-0652 55814
ONEWEB-0658 55819
ONEWEB-0671 55830
ONEWEB-0684 56720
ONEWEB-0686 56721
ONEWEB-0697 61603
ONEWEB-0699 61605
ONEWEB-0713 55175
ONEWEB-0715 55176
ONEWEB-0719 55179
OPS 1264 (DMSP 4A F4) 2980
OPS 5644 10033
OPS 8180 (STP RADSAT) 6217
ORBASTRO-AF 1 56179
ORBCOMM FM 107 40087
ORBCOMM FM 19 25415
ORBCOMM FM 21 25475
ORBCOMM FM 33 25983
OTB 44341
OUTPOST MISSION 1 56226
PARASOL 28498
PAYLOAD B 49113
PEXT 64874
PICOSAT 6 26094
POLAR SCOUT YUKON 43808
PRAETORIAN SDA_605 65568
PRAETORIAN SDA_615 65578
PROBA 1 26958
PRSS 1 43530
PUCP-SAT 1 39442
PUNCH-WFI03 63180
QB50P2 40032
